MapID,Area Name,,"""Families w/ Income < $23,050""","""Families w/ Income btw. $23,050 - $38,400""","""Families w/ Income btw. $38,400 - $61,450""","""Families w/ Income btw. $61,450 - $91,150""","""Families w/ Income btw. $91,150 - $192,000""","""Families w/ Income > $192,000""",Total Families,Mediam Family Income (2006)
0,New York City,,409368.00,287590,340443,297779,362500,125289,1822967,51830
100,Bronx,,106751.00,57039,63577,41246,36841,4033,309487,36013
101,,Mott Haven/Hunts Point,13806.00,5590,4510,1906,1850,93,27756,23426
102,,Morrisania/Belmont,17910.00,7610,5761,2570,1610,59,35521,22542
103,,Highbridge/South Concourse,13490.00,6589,5903,2546,1216,35,29778,27557
104,,University Heights/Fordham,15662.00,5767,5790,1822,1361,28,30430,22164
105,,Kingsbridge Heights/Mosholu,12848.00,6297,6091,2991,1992,130,30350,28676
106,,Riverdale/Kingsbridge,4356.00,4097,5015,4425,5728,1391,25011,57709
107,,Soundview/Parkchester,12446.00,7506,10851,6381,3873,504,41562,40593
108,,Throgs Neck/ Co-op City,3816.00,3235,5043,6821,7218,428,26559,67059
109,,Pelham Parkway,6038.00,4691,7676,5085,4631,612,28732,49219
110,,Williamsbridge/  Baychester,6379.00,5657,6937,6699,7363,752,33787,54503
200,Brooklyn,,145125.00,95765,107635,91808,100434,20554,561321,45873
201,,Williamsburgish/ Greenpoint,9835.00,4870,6465,2748,2859,610,27387,35331
202,,Brooklyn Heights/Fort Greene,3878.00,2902,3898,2773,5302,2423,21176,61250
203,,Bedford Stuyvesant,10912.00,4586,3760,3662,3119,548,26588,31057
204,,Bushwick,9831.00,6020,4502,3406,2288,72,26119,30445
205,,East New York/Starrett City,12752.00,7257,6935,5853,3585,307,36689,34808
206,,Park Slope/Carroll Gardens,2920.00,2278,3262,3468,6975,4579,23483,84657
207,,Sunset Park,8272.00,5977,6446,5267,5734,1006,32702,47836
208,,North Crown Heights/Prospect Heights,8320.00,4705,6382,4614,3865,934,28819,41809
209,,South Crown Heights,6977.00,5434,5243,4224,3263,387,25528,39805
210,,Bay Ridge,4497.00,3709,5630,5595,8371,1681,29483,65867
211,,Bensonhurst,9444.00,7506,7447,7398,8142,1008,40946,47583
212,,Borough Park,7438.00,6052,7328,4292,5517,886,31513,43326
213,,Coney Island,6338.00,4036,4608,4484,4999,369,24834,46627
214,,Flatbush,10452.00,6806,7302,6765,5372,1351,38049,42753
215,,Sheepshead Bay/Gravesend,7848.00,5861,6158,7492,7967,1926,37252,56284
216,,Brownsville/Ocean Hill,12005.00,4912,4857,2899,2460,265,27398,28048
217,,East Flatbush,7700.00,7011,6854,5575,6556,688,34384,45850
218,,Flatlands/Canarsie,5707.00,5843,10558,11291,14058,1516,48973,67481
300,Manhattan,,64314.00,35377,38682,34271,59614,71939,304196,70867
301,,Greenwich Village/Financial District,2541.00,1723,1966,2909,6797,9930,25866,140900
302,,Lower East Side/Chinatown,11052.00,5593,5485,3763,4444,1208,31545,35626
303,,Chelsea/Clinton/Midtown,2749.00,1983,1424,2356,4057,5713,18281,101799
304,,Stuyvesant Town/Turtle-Bay,1495.00,1528,2506,2729,7983,8826,25066,133888
305,,Upper West Side,2972.00,1333,4953,4792,11043,20202,45295,168494
306,,Upper East Side,1234.00,1628,3835,3609,13328,21746,45380,178067
307,,Morningside Heights/Hamilton Heights,7147.00,3386,3442,2992,3163,1931,22061,43861
308,,Central Harlem,8313.00,4845,3686,2715,2767,842,23169,33403
309,,East Harlem,10949.00,5035,4062,3032,1893,930,25901,29208
310,,Washington Heights/Inwood,15862.00,8324,7323,5372,4139,611,41631,31164
400,Queens,,80560.00,86578,110685,103937,123332,19454,524546,57333
401,,Astoria,9745.00,8375,8939,6648,6974,917,41598,45400
402,,Sunnyside/Woodside,5875.00,5913,6735,5332,4578,832,29266,44899
403,,Jackson Heights,6724.00,7769,8690,7314,6497,512,37505,50140
404,,Elmhurst/Corona,6934.00,7110,7966,4711,4387,503,31612,42510
405,,Middle Village/Ridgewood,6889.00,7981,9620,9140,9940,1285,44855,56172
406,,Rego Park/Forest Hills,4069.00,3377,3942,5995,9017,2466,28867,73800
407,,Flushing/Whitestone,8608.00,9478,12949,11795,14575,2750,60156,59382
408,,Hillcrest/Fresh Meadows,3769.00,5850,7424,7237,9372,1361,35013,61610
409,,Ozone Park/Woodhaven,5411.00,4865,6097,7205,7606,841,32025,60344
410,,South Ozone Park/Howard Beach,3884.00,4503,6466,6129,8139,531,29652,61097
411,,Bayside/Little Neck,2847.00,3350,5026,5970,10397,3143,30733,80754
412,,Jamaica,6365.00,8170,12165,10187,10482,878,48246,54508
413,,Queens Village,3714.00,6235,9869,11493,15865,2209,49386,73452
414,,Rockaways,5725.00,3601,4797,4781,5504,1226,25634,54348
500,Staten Island,,12617.00,12831,19863,26518,42279,9308,123416,78756
501,,North Shore,5959.00,4897,6213,9421,11476,2102,40068,67469
502,,Mid-Island,4228.00,4834,5994,7626,11921,2275,36877,73497
503,,South Shore,2431.00,3100,7657,9471,18882,4932,46471,89783
