MapID,Area Name,,"""Families w/ Income < $25,750""","""Families w/ Income btw. $25,750 - $42,950""","""Families w/ Income btw. $42,950 - $85,900""","""Families w/ Income btw. $85,900 - $103,080""","""Families w/ Income btw. $103,080 - $200,000""","""Families w/ Income > $200,000""",Total Families,,Mediam Family Income (2013)
,New York City,,430234,286727,486257,136013,354633,150675,1844540,,57760
,Bronx,,110437,58073,82674,19839,35604,6232,312858,,38843
101,,Mott Haven/Hunts Point,7921,6777,8905,1433,3950,714,33673,,25974
102,,Morrisania/Belmont,10632,4787,7725,1939,2777,373,23381,,25617
103,,Highbridge/South Concourse,4934,5153,7496,1351,5132,1319,33529,,30082
104,,University Heights/Fordham,14462,6249,11412,2545,5212,559,26165,,27838
105,,Kingsbridge Heights/Mosholu,4750,4863,6815,1004,3845,2104,37233,,33560
106,,Riverdale/Kingsbridge,16117,6531,8180,3111,3159,135,29700,,63595
107,,Soundview/Parkchester,6783,5866,8048,1293,3477,698,35120,,41491
108,,Throgs Neck/ Co-op City,13127,5280,8710,2849,3444,118,25385,,70062
109,,Pelham Parkway,14172,6596,8469,2822,2972,89,40439,,54259
110,,Williamsbridge/  Baychester,17540,5970,6914,1491,1635,123,28233,,53491
,Brooklyn,,151895,98612,158133,40700,102430,31364,583135,,51581
201,,Williamsburg / Greenpoint,8610,7428,10100,2494,5609,1569,37773,,42521
202,,Brooklyn Heights/Fort Greene,7054,4784,9515,1968,6736,784,38735,,88290
203,,Bedford Stuyvesant,12590,5449,6921,1600,2686,326,30983,,40801
204,,Bushwick,7536,6331,10668,2764,7453,2169,35635,,37742
205,,East New York/Starrett City,2760,3973,3990,2000,5421,7430,28545,,38888
206,,Park Slope/Carroll Gardens,6715,4905,12166,1300,10625,2452,26007,,116425
207,,Sunset Park,6659,3371,5230,1571,4317,2283,30473,,42661
208,,North Crown Heights/Prospect Heights,2118,2517,4154,2361,6894,11534,27656,,44088
209,,South Crown Heights,2689,3479,6241,2114,10256,22082,31882,,48429
210,,Bay Ridge,8073,5001,6653,1715,3730,1510,28615,,65663
211,,Bensonhurst,5157,6245,11021,4819,8150,1596,48277,,52398
212,,Borough Park,9258,5250,5690,1516,2738,1162,33871,,43052
213,,Coney Island,8569,7079,12476,4187,6957,903,45480,,44669
214,,Flatbush,13360,7067,9568,1647,4853,1277,32247,,51176
215,,Sheepshead Bay/Gravesend,8292,6373,10914,2430,6177,1449,32968,,64192
216,,Brownsville/Ocean Hill,10997,5086,7344,1870,3678,2008,25791,,31429
217,,East Flatbush,3759,2228,4585,1677,9499,16987,38148,,54618
218,,Flatlands/Canarsie,1843,2543,3632,1636,6827,9526,24185,,73137
,Manhattan,,61013,35984,53954,15761,59384,75799,301894,,84627
301,,Greenwich Village/Financial District,5447,4691,8218,1240,5718,2343,26682,,180291
302,,Lower East Side/Chinatown,6081,3596,7589,2357,5575,592,46861,,38783
303,,Chelsea/Clinton/Midtown,10027,5151,7184,1149,3700,1334,23432,,130055
304,,Stuyvesant Town/Turtle-Bay,8414,3113,5897,1152,4304,1305,29579,,158134
305,,Upper West Side,2759,3994,8344,5237,11380,6434,38163,,161988
306,,Upper East Side,12723,4837,9370,1305,3135,511,25573,,186492
307,,Morningside Heights/Hamilton Heights,5120,3899,6410,3048,6674,5322,30841,,45949
308,,Central Harlem,10199,5005,7424,1558,3616,813,29573,,41466
309,,East Harlem,10425,5261,9275,3158,5419,334,36921,,34587
310,,Washington Heights/Inwood,9702,5678,7741,2576,5161,1390,35811,,40034
,Queens,,91556,81004,159644,47829,118522,26813,525368,,64371
401,,Astoria,8132,5305,10794,3255,4790,691,32684,,53410
402,,Sunnyside/Woodside,9123,8067,15795,3795,9998,1500,35869,,60869
403,,Jackson Heights,7088,6111,13936,5197,11290,1857,41366,,50075
404,,Elmhurst/Corona,4343,4635,10020,3540,8339,1806,32509,,47387
405,,Middle Village/Ridgewood,4313,4633,12627,3408,13656,2729,35969,,65613
406,,Rego Park/Forest Hills,3610,6244,10203,4991,11347,3005,51452,,85767
407,,Flushing/Whitestone,3497,3236,8151,3278,9249,2628,39400,,59727
408,,Hillcrest/Fresh Meadows,6062,4591,10033,2396,6552,1462,32878,,70561
409,,Ozone Park/Woodhaven,5938,3573,8866,4549,8468,1483,43450,,63575
410,,South Ozone Park/Howard Beach,3963,5643,8555,2110,9367,2871,30893,,68351
411,,Bayside/Little Neck,11188,7602,15884,2554,10683,3542,30040,,89488
412,,Jamaica,8246,5205,9253,1683,8934,2548,30017,,60172
413,,Queens Village,5926,5026,11008,3289,8557,2162,31096,,87335
414,,Rockaways,3603,5947,11623,3224,14005,5048,40580,,62190
,Staten Island,,15334,13054,31853,11883,38693,10467,121285,,86133
501,,North Shore,8019,5312,7779,2768,5149,990,40171,,71065
502,,Mid-Island,10479,5646,8056,1194,4241,1276,25614,,88357
503,,South Shore,9331,7543,12681,2493,7113,1420,36987,,97784
